Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ,"Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)","Entry_ta_atr_wr…(H,L,C,14)","Exit_ta_atr_wr…(H,L,C,14)"
15,62,62,62945.99,62726.47405990868,62726.47405990868,63575.46,-5177.826062268401,1885.0869608986302,-0.0054838823593246705,2024-07-01 13:30:00,2024-07-01 13:30:00,0 days 00:00:00,,62991.62958641127,62991.62958641127,21.106617682025608,21.106617682025608,164.67486767557767,164.67486767557767
15,66,78,62832.01,63460.3301,62554.133111725634,63460.3301,7530.416398499958,1894.3851015,0.00799000000000001,2024-07-01 14:30:00,2024-07-01 17:30:00,0 days 03:00:00,,62983.980783714425,63477.77048820855,18.048226674588847,31.40578517989206,184.44616893175242,203.30649162831435
17,1251,1251,58775.99,59363.76,58551.93934364828,59363.76,7983.714250000069,2008.3757500000002,0.007990171667036264,2024-07-13 22:45:00,2024-07-13 22:45:00,0 days 00:00:00,,59063.61085275443,59063.61085275443,21.757319547686407,21.757319547686407,193.27635869392105,193.27635869392105
15,1886,1886,66557.76,66409.5954023466,66409.5954023466,67223.3477,-4216.979295836063,1994.510331035199,-0.004223879425265145,2024-07-20 13:30:00,2024-07-20 13:30:00,0 days 00:00:00,,66644.71763486479,66644.71763486479,11.035737922752961,11.035737922752961,113.31356045210606,113.31356045210606
15,1888,1900,66539.88,67205.2889,66366.15075508457,67205.2889,7974.955966499923,2006.1775335000002,0.007990151636882969,2024-07-20 14:00:00,2024-07-20 17:00:00,0 days 03:00:00,,66644.17046189627,66986.04905042534,11.347457549540628,21.08357045937002,114.77572304288739,157.79360592239294
15,1985,1996,66950.0,67619.5101,66753.81529517604,67619.5101,8024.108848499993,2018.5426515,0.007990150707991016,2024-07-21 14:15:00,2024-07-21 17:00:00,0 days 02:45:00,,67076.52220191136,67538.17851785867,21.552389936706557,18.37781295984584,138.02600774815716,214.70298629639396
17,6016,6016,58175.0,57897.218035824684,57897.218035824684,58756.7601,-6695.521097589388,1973.2277066090196,-0.006770162135129133,2024-09-01 14:00:00,2024-09-01 14:00:00,0 days 00:00:00,,58400.528246646914,58400.528246646914,24.57925776332088,24.57925776332088,241.8235968704371,241.8235968704371
16,8158,8170,63365.8,63096.63123628655,63096.63123628655,63999.458000000006,-6330.099119195829,2023.398899780585,-0.006243607670853028,2024-09-23 21:30:00,2024-09-24 00:30:00,0 days 03:00:00,,63525.60286155389,63425.32266819034,15.562895062948659,26.962930755335446,179.18113944166313,189.75729911169796
16,9460,9460,62891.49,62667.0480310203,62667.0480310203,63392.1995,-5600.008112171518,2008.9366084963249,-0.00556514890982425,2024-10-07 11:00:00,2024-10-07 11:00:00,0 days 00:00:00,,63903.603732409676,63903.603732409676,26.667778352055812,26.667778352055812,159.2983617493433,159.2983617493433
14,10431,10432,67211.99,66908.76057175834,66908.76057175834,67884.12,-6122.902503387992,1877.6905080046167,-0.006507026184069679,2024-10-17 13:45:00,2024-10-17 14:00:00,0 days 00:15:00,,67413.60677147743,67358.95871058865,16.77765568343342,18.013427234163558,214.50821748293185,227.7576305198653
13,11583,11591,71516.6,72231.7761,71233.93177022152,72231.7761,7428.56041069996,1868.7288893,0.00799014108472721,2024-10-29 13:45:00,2024-10-29 15:45:00,0 days 02:00:00,,71621.63988390248,72274.11932595058,17.908501273612423,27.75505456454994,208.63914224382424,273.7178443166045
10,13948,13993,98576.14,98210.82906312146,98210.82906312146,99561.9014,-5620.979059416586,1967.8696906312148,-0.005702169976848955,2024-11-23 05:00:00,2024-11-23 16:15:00,0 days 11:15:00,,98801.23276430173,99001.19813790865,10.584117317331355,15.95934469309958,242.99272282957463,200.60814889123353
10,14048,14059,98264.44,97951.74503068479,97951.74503068479,99247.0844,-5089.111543458976,1962.161850306848,-0.0051789961286696695,2024-11-24 06:00:00,2024-11-24 08:45:00,0 days 02:45:00,,98529.7639290051,98467.62815840657,15.915573052224193,14.597475807947252,204.97736195703519,186.89914925351653
10,14749,14797,97027.99,97998.2699,96762.66915898428,97998.2699,7752.536400999941,1950.2625990000001,0.00799000000000001,2024-12-01 13:15:00,2024-12-02 01:15:00,0 days 12:00:00,,97209.39458717292,97911.6720290585,17.865319134666972,20.4419795048568,191.57266348592768,266.2488492696375
9,15903,15908,100279.74,101282.5374,99951.46981823095,101282.5374,7211.116103399962,1814.0604966,0.00799000000000001,2024-12-13 13:45:00,2024-12-13 15:00:00,0 days 01:15:00,,100563.88980386937,101012.67692503998,10.450629341437445,18.294734142024218,228.0305887141807,289.1930162199054
10,17029,17041,98207.66,99189.7366,97817.75978136325,99189.7366,7846.792034000004,1973.973966,0.00799000000000001,2024-12-25 07:15:00,2024-12-25 10:15:00,0 days 03:00:00,,98377.5404372812,98638.57347310329,13.639325343653523,15.087647013154381,263.69394487037454,275.61247482208705
10,17295,17377,94477.17,95421.9518,94065.75395729957,95421.9518,7548.82678199997,1898.9912180000001,0.007990106797229422,2024-12-28 01:45:00,2024-12-28 22:15:00,0 days 20:30:00,,94725.56261114306,95242.93413218623,22.612288962830018,22.27194946730788,270.9180264335905,186.65280324143887
10,17526,17532,93880.98,93522.61689878408,93522.61689878408,94819.7898,-5457.666981147007,1874.0359689878408,-0.005813389443896975,2024-12-30 11:30:00,2024-12-30 13:00:00,0 days 01:30:00,,94071.88086077172,94158.91332134174,9.604256988142332,10.090313416016889,229.76811027651755,255.32946041637624
