Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,20)","Exit_ta_wrapper(ema,C,20)","Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)"
17,448,554,55830.0,57992.4,54828.52,57992.4,34825.81920000003,1934.9808,0.03669313272434181,2024-07-05 14:00:00,2024-07-06 16:30:00,1 days 02:30:00,,55289.5348572702,57119.33752508842,1020.9616785,332.866183
18,723,723,57394.87,57309.68,57309.68,60994.76000000001,-3598.101900000042,2064.6819,-0.003482794716670722,2024-07-08 10:45:00,2024-07-08 10:45:00,0 days 00:00:00,,56816.06914904232,56816.06914904232,614.6300435,614.6300435
18,725,737,57201.11,56705.94,56705.94,60778.240000000005,-10963.386899999969,2050.3269,-0.010647993544181184,2024-07-08 11:15:00,2024-07-08 14:15:00,0 days 03:00:00,,56879.251162821485,56916.98381100413,625.7624405,568.3970095
17,896,904,58975.01,58820.44,58820.44,61285.38,-4630.212649999995,2002.52265,-0.004618319691679574,2024-07-10 06:00:00,2024-07-10 08:00:00,0 days 02:00:00,,58579.66064636351,58814.11710010523,328.437515,345.76726199999996
16,1371,1397,62468.0,62412.0,62412.0,64554.11,-2894.08,1998.08,-0.0028955625280143015,2024-07-15 04:45:00,2024-07-15 11:15:00,0 days 06:30:00,,62008.41585683289,62650.447618684026,476.8629090000001,291.635441
14,2020,2023,68012.01,67934.0,67934.0,70320.03000000001,-2995.3841399999264,1903.2441399999998,-0.0031458562980273353,2024-07-21 23:00:00,2024-07-21 23:45:00,0 days 00:45:00,,67743.1682819193,67825.61981488872,419.35813500000006,316.35705250000007
15,3077,3084,65099.99,64869.49,64869.49,67641.98999999999,-5407.0422,1949.5421999999999,-0.005537166441961035,2024-08-01 23:15:00,2024-08-02 01:00:00,0 days 01:45:00,,64556.640183998614,64834.10739135784,405.020892,370.115272
18,3432,3442,54321.08,53500.0,53500.0,57338.020000000004,-16720.21944000003,1940.7794400000002,-0.017100195356940687,2024-08-05 16:00:00,2024-08-05 18:30:00,0 days 02:30:00,,52993.16121655652,53825.32212043715,2233.4056400000004,1594.7006085000003
18,3462,3463,54544.0,54274.0,54274.0,56895.27,-6818.724,1958.7240000000002,-0.0069451818715166045,2024-08-05 23:30:00,2024-08-05 23:45:00,0 days 00:15:00,,54305.13936649888,54277.869903022794,581.5302575000001,551.8175495
17,3465,3569,54995.49,57109.36,53876.47,57109.36,34030.007550000046,1905.78245,0.03639871469460502,2024-08-06 00:15:00,2024-08-07 02:15:00,1 days 02:00:00,,54468.05699544496,56401.60127642587,560.314668,412.05021500000004
17,3671,3671,57370.0,57216.03,57216.03,59988.71,-4565.452510000019,1947.9625099999998,-0.0046811230608331655,2024-08-08 03:45:00,2024-08-08 03:45:00,0 days 00:00:00,,56560.21526022033,56560.21526022033,475.36151700000005,475.36151700000005
17,3672,3672,57049.74,57046.0,57046.0,59912.72,-2003.2075799999652,1939.6275799999999,-0.002065491271301125,2024-08-08 04:00:00,2024-08-08 04:00:00,0 days 00:00:00,,56620.33094972315,56620.33094972315,486.1914385,486.1914385
17,3673,3674,57191.43,56838.94,56838.94,60096.72,-7930.846289999965,1938.51629,-0.008157172674297521,2024-08-08 04:15:00,2024-08-08 04:30:00,0 days 00:15:00,,56656.317525939994,56673.674904421896,484.536862,483.263141
17,3675,3675,56836.85,56828.2,56828.2,60138.56,-2079.3558500000245,1932.30585,-0.002152037806458378,2024-08-08 04:45:00,2024-08-08 04:45:00,0 days 00:00:00,,56682.40491352457,56682.40491352457,484.96158,484.96158
17,3676,3742,56765.35,60184.21,56670.47,60184.21,56132.47748000001,1988.1425199999999,0.0581677104078457,2024-08-08 05:00:00,2024-08-08 21:30:00,0 days 16:30:00,,56692.798731284136,59521.985146478604,477.305568,301.6919755
17,3755,3755,61359.9,61257.6,61257.6,66075.76999999999,-3823.59750000005,2084.4975000000004,-0.003665545413209633,2024-08-09 00:45:00,2024-08-09 00:45:00,0 days 00:00:00,,60999.26611778008,60999.26611778008,665.5162155000002,665.5162155000002
17,3756,3756,61214.01,61086.95,61086.95,66055.73999999999,-4239.136320000084,2079.11632,-0.004073592956906569,2024-08-09 01:00:00,2024-08-09 01:00:00,0 days 00:00:00,,61012.57505894388,61012.57505894388,694.0235670000002,694.0235670000002
17,3757,3771,61139.0,60720.0,60720.0,65869.82,-9194.603,2071.603,-0.0088463828325619,2024-08-09 01:15:00,2024-08-09 04:45:00,0 days 03:30:00,,61034.40981523495,61132.68369413159,704.4769605000001,321.87123299999996
16,4210,4210,60975.2,60862.84,60862.84,63623.869999999995,-3747.1686400000094,1949.40864,-0.0038408736666710568,2024-08-13 18:30:00,2024-08-13 18:30:00,0 days 00:00:00,,60413.978829147745,60413.978829147745,524.3874370000001,524.3874370000001
16,4211,4211,60968.0,60841.59,60841.59,63550.229999999996,-3971.513440000056,1948.95344,-0.004071309375410095,2024-08-13 18:45:00,2024-08-13 18:45:00,0 days 00:00:00,,60450.305607324146,60450.305607324146,515.2004780000001,515.2004780000001
16,4212,4212,60795.4,60761.91,60761.91,63596.189999999995,-2480.7569599999674,1944.91696,-0.002550313181589345,2024-08-13 19:00:00,2024-08-13 19:00:00,0 days 00:00:00,,60462.83078757899,60462.83078757899,509.787659,509.787659
16,4213,4213,60581.82,60580.0,60580.0,63712.21,-1967.7091199999954,1938.58912,-0.002030011973889158,2024-08-13 19:15:00,2024-08-13 19:15:00,0 days 00:00:00,,60493.805950666705,60493.805950666705,524.4823200000001,524.4823200000001
16,4214,4286,60788.07,60243.77,60243.77,63638.95,-10645.309440000046,1936.5094399999998,-0.010945105511657184,2024-08-13 19:30:00,2024-08-14 13:30:00,0 days 18:00:00,,60516.88919346035,60972.18485297878,514.0929525,387.5733180000001
16,4819,4862,60412.26,60336.97,60336.97,62853.560000000005,-3136.627680000014,1931.9876800000002,-0.0032450239405048347,2024-08-20 02:45:00,2024-08-20 13:30:00,0 days 10:45:00,,60023.37579302101,60683.074084336724,383.40791950000005,210.81741250000005
16,4990,5003,61242.7,60902.13,60902.13,63895.07,-7403.437279999996,1954.31728,-0.007555428320436498,2024-08-21 21:30:00,2024-08-22 00:45:00,0 days 03:15:00,,60798.96990961513,61022.09520176973,506.647976,311.145162
15,5179,5411,63622.6,63482.35,63482.35,66105.27,-4010.32425,1906.5742500000001,-0.004202200947462039,2024-08-23 20:45:00,2024-08-26 06:45:00,2 days 10:00:00,,62974.33288604492,63975.945317557314,633.9391085,146.953536
17,6318,6356,57963.0,57383.37,57383.37,60149.42,-11814.598289999954,1960.8882899999999,-0.01199000000000001,2024-09-04 17:30:00,2024-09-05 03:00:00,0 days 09:30:00,,57600.74508503046,57881.25534578249,644.1546825000001,195.833456
17,6995,6995,57747.11,57457.94,57457.94,59784.0,-6874.37584999997,1958.48585,-0.007002515796894376,2024-09-11 18:45:00,2024-09-11 18:45:00,0 days 00:00:00,,57215.336113122736,57215.336113122736,559.7669245000001,559.7669245000001
17,6996,6996,57499.99,57377.5,57377.5,59834.66999999999,-4035.2473299999656,1952.91733,-0.004128130978805405,2024-09-11 19:00:00,2024-09-11 19:00:00,0 days 00:00:00,,57237.61648330152,57237.61648330152,528.5103720000001,528.5103720000001
16,6997,7004,57449.28,57325.38,57325.38,59832.12,-3818.794560000023,1836.39456,-0.0041545283074044545,2024-09-11 19:15:00,2024-09-11 21:00:00,0 days 01:45:00,,57270.03300870138,57387.62363687314,506.2897975,365.723106
