Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,200)","Exit_ta_wrapper(ema,C,200)"
17,466,581,56466.98,58388.65920000001,54838.000799999994,58388.65920000001,30716.0005336001,1952.5458664000002,0.03199787842027333,2024-07-05 18:30:00,2024-07-06 23:15:00,1 days 04:45:00,,57385.529091331526,57200.39603791354
19,3392,3392,52717.99,51777.1683,51777.1683,56773.9717,-19861.020307700008,1985.4080076999999,-0.019828465734372646,2024-08-05 06:00:00,2024-08-05 06:00:00,0 days 00:00:00,,59298.53959730444,59298.53959730444
19,3412,3417,51384.0,50558.6664,50558.6664,54697.3336,-17618.249061599963,1936.9106616,-0.018046011723493675,2024-08-05 11:00:00,2024-08-05 12:15:00,0 days 01:15:00,,57983.25595653733,57634.75868361713
18,3445,3595,52753.42,57331.337400000004,52032.162599999996,57331.337400000004,80420.9875668001,1981.5256332,0.08469275816809602,2024-08-05 19:15:00,2024-08-07 08:45:00,1 days 13:30:00,,56602.18507099513,56273.80251715596
17,3764,3806,61235.51,60039.668699999995,60039.668699999995,64129.93130000001,-22390.980137900126,2061.6780379,-0.021509030931562534,2024-08-09 03:00:00,2024-08-09 13:30:00,0 days 10:30:00,,58120.03977235915,59030.920565773275
17,4095,4281,58810.46,61657.5951,57658.1049,61657.5951,46353.33976329999,2047.9569367000001,0.0463636408370211,2024-08-12 13:45:00,2024-08-14 12:15:00,1 days 22:30:00,,59602.06331708561,60211.439081586075
18,4512,4752,59023.97,57801.278699999995,57801.278699999995,61431.24130000001,-24111.297876600107,2102.8544766,-0.022694450215734505,2024-08-16 22:00:00,2024-08-19 10:00:00,2 days 12:00:00,,58681.23041589913,59131.07890009636
17,7574,7736,60419.99,63037.28,59144.58,63037.28,42395.15641000002,2098.77359,0.04127496098559435,2024-09-17 19:30:00,2024-09-19 12:00:00,1 days 16:30:00,,59145.80966831566,60744.161817969136
17,8094,8513,63763.79,66243.9622,62447.4378,66243.9622,39952.79561259989,2210.1317873999997,0.03685735192026696,2024-09-23 05:30:00,2024-09-27 14:15:00,4 days 08:45:00,,63140.403783501824,64714.647981144364
18,9007,9014,61475.99,60089.436,60089.436,63990.364,-27146.149667999936,2188.1776680000003,-0.024531844481072967,2024-10-02 17:45:00,2024-10-02 19:30:00,0 days 01:45:00,,62385.98659981522,62276.922891572096
17,10243,11509,65590.63,69877.48920000001,64786.5108,69877.48920000001,70573.64837360011,2302.9580264,0.06329244102092028,2024-10-15 14:45:00,2024-10-28 19:15:00,13 days 04:30:00,,64886.67558811892,68029.72706773633
