Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(rsi,C,14)","Exit_ta_wrapper(rsi,C,14)","Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)","Entry_ta_atr_wr…(H,L,C,14)","Exit_ta_atr_wr…(H,L,C,14)"
17,670,679,56235.98,56013.04097787764,56013.04097787764,56874.8570663671,-5698.196732704137,1908.23335662392,-0.00596038413663716,2024-07-07 21:30:00,2024-07-07 23:45:00,0 days 02:15:00,,30.38051331960533,27.120608603025236,18.425946644767865,27.892800183135034,220.683377685054,250.61660237426048
15,1701,1704,63640.0,63348.44310005678,63348.44310005678,64380.00069982966,-6278.180145649177,1904.826646500852,-0.006576765289806386,2024-07-18 15:15:00,2024-07-18 16:00:00,0 days 00:45:00,,27.839585800030072,32.06717864098755,24.57597833548479,29.90071030679928,253.53354994727493,281.2057868929166
14,2142,2174,66562.01,66153.12852092483,66153.12852092483,67225.8244372255,-7582.352646345243,1858.0119392929475,-0.008136722698068893,2024-07-23 05:30:00,2024-07-23 13:30:00,0 days 08:00:00,,22.5307381109672,37.85221300510446,26.153740242869496,27.108627556082173,222.32423056979695,233.78498967922425
16,3240,3241,60879.01,60612.765017110396,60612.765017110396,61540.69494866882,-6203.788126507463,1943.8684002737664,-0.0063689727856402105,2024-08-03 16:00:00,2024-08-03 16:15:00,0 days 00:15:00,,23.269207659357807,30.7452955754057,26.498205667655235,29.352023280043195,224.36034125463314,254.0917454507312
16,3331,3331,59777.93,59454.85473629748,59454.85473629748,60431.975791107565,-7076.928775021106,1907.7245557807596,-0.00739918642948688,2024-08-04 14:45:00,2024-08-04 14:45:00,0 days 00:00:00,,21.651974547760716,21.651974547760716,24.499701855628288,24.499701855628288,247.83845915234167,247.83845915234167
16,3332,3335,59586.69,59069.16154084766,59069.16154084766,60330.215377457025,-10178.948971091082,1898.4936246535626,-0.010676617726092727,2024-08-04 15:00:00,2024-08-04 15:45:00,0 days 00:45:00,,19.488661795352908,16.47629910589329,27.58864654464798,36.13389975905561,254.89785492717428,263.95747349672104
16,6209,6211,57897.01,57666.17907987381,57666.17907987381,58550.47276037859,-5542.305747297094,1849.011025277981,-0.005982936065369652,2024-09-03 14:15:00,2024-09-03 14:45:00,0 days 00:30:00,,28.591416303212135,23.781828243461543,25.376267053577507,30.287440487858255,228.96942583146574,240.13174982407006
15,7633,7644,59545.45,60065.008956314545,59303.12701456182,60065.008956314545,5999.227460373497,1794.156884344718,0.006716692834771285,2024-09-18 10:15:00,2024-09-18 13:00:00,0 days 02:45:00,,31.433788157884173,45.53380457678562,27.72246260302016,29.11752780182104,185.212057906884,181.19225297337337
14,8746,8751,65239.88,65055.05227241408,65055.05227241408,65638.72318275776,-4411.717238016601,1824.129051813797,-0.0048302151974885365,2024-09-30 00:30:00,2024-09-30 01:45:00,0 days 01:15:00,,30.789239060777067,20.724087755638646,22.94813498603346,25.287106964926675,141.20646132978322,175.38890999010673
15,10054,10057,62055.0,62431.614015560335,61926.461994813224,62431.614015560335,3781.9110231716236,1867.2992102334051,0.0040629667479618785,2024-10-13 15:30:00,2024-10-13 16:15:00,0 days 00:45:00,,27.99153272729869,47.36881406307745,27.47864889117174,28.186365083554247,126.83314767343629,138.3159567924708
14,10989,11007,66214.58,66767.02383913359,66029.10538695547,66767.02383913359,5872.471294122335,1861.7424537478705,0.006334892334806817,2024-10-23 09:15:00,2024-10-23 13:45:00,0 days 04:30:00,,30.86872057673574,57.612150593099884,26.511044506971416,27.597808692533366,183.991426398493,196.27064584354403
13,11776,11776,71308.0,70912.20949384478,70912.20949384478,71901.37151846563,-6994.139303437784,1848.8627234199823,-0.007544885786294092,2024-10-31 14:00:00,2024-10-31 14:00:00,0 days 00:00:00,,18.661006327222157,18.661006327222157,21.923845925807218,21.923845925807218,228.42975571555107,228.42975571555107
13,11777,11783,71160.02,70530.83024428444,70530.83024428444,71845.30926714666,-10021.447877477987,1841.981053175698,-0.010833057747311515,2024-10-31 14:15:00,2024-10-31 15:45:00,0 days 01:30:00,,16.64555466511832,17.650089350420817,25.36495501894559,39.77133714548259,241.39905887872598,273.83237919937784
14,12173,12189,67448.0,67144.91420527977,67144.91420527977,68311.53738416069,-6127.501924957154,1884.3007988739168,-0.006489128053100297,2024-11-04 17:15:00,2024-11-04 21:15:00,0 days 04:00:00,,35.91182197968008,37.443312139463174,23.925879196537892,28.893678584991452,312.1782379545009,273.08274368041396
12,12653,12653,75861.32,75740.81288373205,75740.81288373205,76198.42134880384,-3265.3109898202133,1819.2255946047849,-0.003586930060690845,2024-11-09 17:15:00,2024-11-09 17:15:00,0 days 00:00:00,,33.57059999797377,33.57059999797377,21.349176480995027,21.349176480995027,123.71946510594839,123.71946510594839
9,13994,13996,97705.81,97363.58185110877,97363.58185110877,98307.6444466737,-4835.67786668102,1755.624526659979,-0.005499136036458207,2024-11-23 16:30:00,2024-11-23 17:00:00,0 days 00:30:00,,27.831335444540386,23.385154116745145,19.08390337883565,25.096453093936283,217.06470968471683,233.46125477916922
9,14179,14179,96595.07,96109.1319489017,96109.1319489017,97617.66415329489,-6107.780277424841,1734.3378175401153,-0.007025640677595693,2024-11-25 14:45:00,2024-11-25 14:45:00,0 days 00:00:00,,15.797098961138888,15.797098961138888,26.045099875644787,26.045099875644787,407.91961887698716,407.91961887698716
