Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,9)","Exit_ta_wrapper(ema,C,9)","Entry_ta_wrapper(ema,C,21)","Exit_ta_wrapper(ema,C,21)","Entry_ta_wrapper(rsi,C,14)","Exit_ta_wrapper(rsi,C,14)","Entry_ta_wrapper(sma,V,20)","Exit_ta_wrapper(sma,V,20)","Entry_ta_atr_wr…(H,L,C,14)","Exit_ta_atr_wr…(H,L,C,14)"
17,360,390,58140.0,57691.196645281576,57691.196645281576,58813.20503207763,-9598.787373182997,1969.1303429697869,-0.009711636590363039,2024-07-04 16:00:00,2024-07-04 23:30:00,0 days 07:30:00,,57657.1581048909,57959.92036345489,57616.6618441632,58101.498020164174,53.51186787950802,27.953871436710493,672.7056625000001,314.686739,370.0061673416369,298.6463287566449
17,833,833,57851.15,57525.46043575728,57525.46043575728,58339.68434636408,-7498.124969534096,1961.4023774078737,-0.007624155694026372,2024-07-09 14:15:00,2024-07-09 14:15:00,0 days 00:00:00,,57452.25459920411,57452.25459920411,57420.85483387304,57420.85483387304,55.08550853093808,55.08550853093808,390.86497900000006,390.86497900000006,312.8145437592473,312.8145437592473
16,975,977,58040.01,57791.98729762157,57791.98729762157,58412.04405356765,-5821.675194816855,1853.311956761945,-0.006269032339519762,2024-07-11 01:45:00,2024-07-11 02:15:00,0 days 00:30:00,,57791.921545075835,57872.41378884854,57688.385156805474,57745.005253558236,66.83085419804866,58.32592572866319,155.7460705,163.09690400000002,222.59518636426466,237.8732984467386
17,1091,1093,57313.72,57080.98551943222,57080.98551943222,57662.821720851665,-5901.196163482583,1944.709993830348,-0.006056650765073522,2024-07-12 06:45:00,2024-07-12 07:15:00,0 days 00:30:00,,57149.608725480735,57153.56558430768,57120.86501930691,57128.45042917926,52.528222703967856,48.439220656580765,165.09748249999998,158.3875995,191.50501472506426,188.07952800273372
16,1097,1103,57228.01,56990.42138789125,56990.42138789125,57584.36791816312,-5628.912695946313,1827.4949022062601,-0.006147462466310496,2024-07-12 08:15:00,2024-07-12 09:45:00,0 days 01:30:00,,57136.54225533243,57121.95268274188,57123.64418904396,57130.54056712354,50.68431757115728,42.906609529218215,181.5756235,192.48404100000005,201.68059270319822,188.89412260133008
16,1182,1183,57924.0,58115.75409120475,57796.163939196835,58115.75409120475,1211.4293938166916,1856.6360654592759,0.00130713239958467,2024-07-13 05:30:00,2024-07-13 05:45:00,0 days 00:15:00,,57857.801967749365,57901.44557419949,57845.516561356766,57866.47141941524,58.43745005548035,67.11153472986317,89.53478750000002,107.98569900000003,104.30147562149783,117.70279879139072
14,1607,1607,65050.01,64690.33257921724,64690.33257921724,65589.55113117414,-6851.84868706771,1816.3647961090414,-0.0075237154208274894,2024-07-17 15:45:00,2024-07-17 15:45:00,0 days 00:00:00,,64951.38382566274,64951.38382566274,64981.610758248615,64981.610758248615,41.80682611741595,41.80682611741595,389.7086135,389.7086135,308.4738375104684,308.4738375104684
14,1749,1750,64020.0,64358.991364876856,63794.00575674877,64358.991364876856,2948.5732291677095,1797.305879108276,0.0032897902766632504,2024-07-19 03:15:00,2024-07-19 03:30:00,0 days 00:15:00,,63874.47084064381,63970.37467251505,63832.801906007575,63880.182641825064,57.547257354040404,66.65493064323896,166.20497749999998,171.07978050000003,187.32221203964622,198.74776832252854
14,1862,1864,66679.67,66526.39260375948,66526.39260375948,66909.61109436076,-4010.768423819899,1864.8848764526329,-0.004296413867139423,2024-07-20 07:30:00,2024-07-20 08:00:00,0 days 00:30:00,,66615.96875483256,66607.47680309284,66606.44380975941,66603.70447087554,51.61990369829777,51.06145237148944,110.645255,113.0577215,124.30667566229853,120.15534789249149
14,1986,1986,67108.01,67356.44681394668,66942.36879070221,67356.44681394668,1595.6129998582999,1882.5023953952534,0.0016983420776853836,2024-07-21 14:30:00,2024-07-21 14:30:00,0 days 00:00:00,,67005.81974998038,67005.81974998038,66941.4340640828,66941.4340640828,68.24561942256948,68.24561942256948,113.003758,113.003758,152.92843576614618,152.92843576614618
14,2007,2009,67309.98,67959.21327062187,66877.1744862521,67959.21327062187,7195.497082917517,1893.768705788706,0.0076357781914547455,2024-07-21 19:45:00,2024-07-21 20:15:00,0 days 00:30:00,,67151.71984590509,67394.05990137925,67097.51563116835,67220.03936460194,57.58835395357621,68.29192528677979,510.58392349999997,560.0774805,347.91748087635807,371.59134830665585
14,2179,2180,67314.01,66949.07815930148,66949.07815930148,67861.40776104775,-6988.729004009378,1879.6832342302207,-0.007415914292697926,2024-07-23 14:45:00,2024-07-23 15:00:00,0 days 00:15:00,,66785.42082841878,66819.53866273502,66715.76301301892,66737.60364819902,61.53659125227341,54.63154876599314,424.14826450000004,435.4607635,298.2105910167048,312.96626308693976
14,2371,2396,64740.0,65304.18480293276,64363.8934647115,65304.18480293276,6077.968653817572,1820.6185872410588,0.006705910073058766,2024-07-25 14:45:00,2024-07-25 21:00:00,0 days 06:15:00,,64340.19935284022,64995.847667014634,64252.28254278242,64852.87881913334,61.73145269194868,65.22648662281401,414.48647050000005,354.2170235000001,309.029699925627,288.31502871769817
14,2516,2516,68028.0,67856.8135008753,67856.8135008753,68284.77974868704,-4298.9983767580325,1902.3873890122543,-0.004513895934403069,2024-07-27 03:00:00,2024-07-27 03:00:00,0 days 00:00:00,,67854.91644711001,67854.91644711001,67830.49176845918,67830.49176845918,53.03601974677481,53.03601974677481,95.0831145,95.0831145,152.65860051315892,152.65860051315892
14,3067,3068,64228.0,64840.51879957709,63819.67080028194,64840.51879957709,6768.303930885184,1806.9592631940793,0.007527095359928865,2024-08-01 20:45:00,2024-08-01 21:00:00,0 days 00:15:00,,63758.43046536735,63950.744372293884,63542.96236596115,63649.96578723741,69.96446136024981,69.04036475031549,544.44336,548.456761,355.1196188294499,350.7539317702035
15,3295,3301,60848.24,60626.83648227302,60626.83648227302,61179.720276590466,-5143.178913138738,1822.1261472340952,-0.005634979651165687,2024-08-04 05:45:00,2024-08-04 07:15:00,0 days 01:30:00,,60729.47538374426,60738.76830731627,60718.91747133817,60733.56207971849,52.91652549695603,43.998747528336665,137.9266345,117.1252685,179.50784109825634,155.39770253221852
17,3521,3569,56149.99,57061.764534732414,55542.12364351173,57061.764534732414,13575.567263360625,1924.599827090451,0.014221957656585137,2024-08-06 14:15:00,2024-08-07 02:15:00,0 days 12:00:00,,55447.48401212096,56565.952879450706,55311.85597980159,56395.70585724084,63.572102817117226,62.58564872510373,699.8233265,412.05021500000004,511.36503775878407,434.0098994944798
17,3661,3662,55890.15,56541.74304387467,55455.75463741689,56541.74304387467,9165.739564123443,1911.3421817458693,0.009646800927011139,2024-08-08 01:15:00,2024-08-08 01:30:00,0 days 00:15:00,,55347.4829910495,55747.29439283961,55284.589336630655,55472.039396936954,55.74725102645294,73.17854419010665,398.4670275,436.0887885,360.9742686655026,462.11610661796664
16,3840,3840,60732.0,60290.70064346996,60290.70064346996,61393.97403479507,-8997.152914776194,1936.3632102955194,-0.00925907358844618,2024-08-09 22:00:00,2024-08-09 22:00:00,0 days 00:00:00,,60448.03710380277,60448.03710380277,60427.72348656859,60427.72348656859,49.1563845394784,49.1563845394784,253.330533,253.330533,380.9593830292013,380.9593830292013
