Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_ta_wrapper(ema,C,21)","Exit_ta_wrapper(ema,C,21)","Entry_ta_wrapper(ema,C,50)","Exit_ta_wrapper(ema,C,50)","Entry_ta_adx_wr…(H,L,C,14)","Exit_ta_adx_wr…(H,L,C,14)","Entry_ta_atr_wr…(H,L,C,14)","Exit_ta_atr_wr…(H,L,C,14)"
17,380,388,58358.99,57983.01033940826,57983.01033940826,58985.622767652894,-8369.468235829458,1977.8140057699404,-0.008436089468497438,2024-07-04 21:00:00,2024-07-04 23:00:00,0 days 02:00:00,,58175.26761992806,58237.79370439866,58156.99778769436,58199.21549737601,29.146865751017554,28.556145606171953,246.93645655678878,239.41574222664144
17,716,723,57791.99,57226.46590293248,57226.46590293248,58734.55682844586,-11569.223400497607,1955.3137503498524,-0.011775724507331383,2024-07-08 09:00:00,2024-07-08 10:45:00,0 days 01:45:00,,56181.722622707035,56784.1888093223,56068.63084435569,56405.45224766893,33.12727040692616,37.65991100479588,393.97825056560384,392.7528686047288
14,2592,2599,68860.01,68029.33114220078,68029.33114220078,70244.44809633202,-13545.95478517978,1916.450775990811,-0.014051235237134228,2024-07-27 22:00:00,2024-07-27 23:45:00,0 days 01:45:00,,68434.12726319909,68358.03457739405,68407.25020082809,68383.00470401648,24.202384013462787,20.640754632141956,535.1107214947513,423.8671323828255
14,2656,2657,67988.01,67767.11157197486,67767.11157197486,68356.17404670856,-4993.14969435949,1900.571702007648,-0.005245830104412586,2024-07-28 14:00:00,2024-07-28 14:15:00,0 days 00:15:00,,67806.71479994836,67801.10163631669,67799.12957091634,67797.00566617452,25.674287654031772,23.959032078030738,149.77378877746577,152.02851815050474
14,3072,3089,64889.04,64357.53490810907,64357.53490810907,65774.85515315154,-9250.523335186586,1809.4520487135271,-0.010182793069508218,2024-08-01 22:00:00,2024-08-02 02:15:00,0 days 04:15:00,,64091.74178555933,64700.25565955188,63992.18149777072,64460.52883338739,35.71957319775505,27.89801480613369,366.5871997420031,317.54808453616477
17,3435,3443,54643.44,53115.26683414054,53115.26683414054,57190.39527643245,-27810.8418357913,1831.8980161803893,-0.029938303164910647,2024-08-05 16:45:00,2024-08-05 18:45:00,0 days 02:00:00,,53381.42591784011,53726.89007248993,53301.953138261044,53517.58011650418,42.57167070303426,32.67065278390752,989.82767410348,818.4373734582462
16,3666,3672,57620.75,56899.16191349872,56899.16191349872,58823.370144168795,-13377.727974636467,1832.3185906159797,-0.014510536541346292,2024-08-08 02:30:00,2024-08-08 04:00:00,0 days 01:30:00,,56036.70476056072,56585.77439099794,55876.53188354338,56181.90695501799,33.016692326017626,36.70332330592083,474.2883392626968,410.00802385807555
15,4381,4389,59032.37,59745.97493918198,58604.20703649082,59745.97493918198,8922.398913641911,1781.6751740877298,0.010076278391716103,2024-08-15 13:15:00,2024-08-15 15:15:00,0 days 02:00:00,,58665.96860529099,59073.86042301694,58627.75492076419,58845.077993815714,31.745877221057572,39.042410900026844,290.91040598187595,317.76484773278355
15,4447,4474,58248.16,57879.887284894976,57879.887284894976,58861.94785850838,-7266.011435848839,1741.9207092734246,-0.008316155607145779,2024-08-16 05:45:00,2024-08-16 12:30:00,0 days 06:45:00,,57978.97423184632,58292.94746151635,57962.77421032915,58227.70687696843,27.420060249420686,18.28272933160274,235.144776017397,232.83743150730507
15,5807,5814,59626.0,59363.31723806634,59363.31723806634,60063.804603222765,-5725.081187575923,1784.839758570995,-0.006401101518997246,2024-08-30 09:45:00,2024-08-30 11:30:00,0 days 01:45:00,,59364.12296664785,59436.69596767064,59348.91278887829,59390.61776453773,26.183241698900627,19.637567880558308,171.895995482742,171.16777992685584
15,6311,6314,57787.39,58502.448464916204,57358.37092105028,58502.448464916204,8981.529396769327,1744.347576973743,0.010361579341986067,2024-09-04 15:45:00,2024-09-04 16:30:00,0 days 00:45:00,,57020.55996396014,57322.420483816786,56925.89512165942,57073.67481864524,31.845780761575895,40.44053945177798,293.73514411173375,297.7101718708011
16,6453,6461,56764.0,56459.07305499251,56459.07305499251,57272.21157501249,-6690.4002889997755,1811.5691688798802,-0.00736646497890368,2024-09-06 03:15:00,2024-09-06 05:15:00,0 days 02:00:00,,56473.09954310194,56535.778521144704,56445.28708100108,56488.418592703536,26.250685758539724,19.73918003998221,197.90501357606536,178.82562881970546
16,6494,6494,56754.1,56337.24282365785,56337.24282365785,57448.86196057024,-8479.17630665292,1809.4614851785257,-0.009337625284619254,2024-09-06 13:30:00,2024-09-06 13:30:00,0 days 00:00:00,,56229.13681613799,56229.13681613799,56231.92849181315,56231.92849181315,26.23437186492701,26.23437186492701,330.9251567832331,330.9251567832331
16,6569,6587,54293.6,54647.6190631174,54081.17256212955,54647.6190631174,3921.245504868595,1743.0595050098784,0.004513936155537356,2024-09-07 08:15:00,2024-09-07 12:45:00,0 days 04:30:00,,54163.89061427948,54353.93079983301,54145.97642700414,54263.80558491831,26.819553128516016,28.086158279537017,143.5965091578946,118.6635378377679
15,7359,7360,60176.22,60058.34105831266,60058.34105831266,60372.658236145566,-3571.702541184798,1803.51841587469,-0.003956936855549514,2024-09-15 13:45:00,2024-09-15 14:00:00,0 days 00:15:00,,60086.70847813443,60081.552252849484,60077.029954452366,60075.1852503562,29.34821666492717,27.437620751760505,77.82220199692479,88.97775899714445
14,7668,7669,60629.79,60010.14576354449,60010.14576354449,61662.530394092515,-10363.978411066782,1688.959100689623,-0.012209908235193566,2024-09-18 19:00:00,2024-09-18 19:15:00,0 days 00:15:00,,60038.81658930403,60076.22689936729,59977.35720213866,59995.90515499597,32.87228165918355,32.89396523075433,418.874289234362,439.33326857476493
13,9473,9473,63909.82,64460.30061758421,63579.51562944947,64460.30061758421,5487.436460566129,1668.8115680285946,0.006604783067244138,2024-10-07 14:15:00,2024-10-07 14:15:00,0 days 00:00:00,,63311.564361416284,63311.564361416284,63253.68111754425,63253.68111754425,29.660042245393612,29.660042245393612,250.81008653127878,250.81008653127878
14,9813,9839,60657.72,61100.31095069448,60392.165429583314,61100.31095069448,4491.660876413009,1704.6124333097227,0.005289234737866629,2024-10-11 03:15:00,2024-10-11 09:45:00,0 days 06:30:00,,60343.66360016995,60748.301651898226,60309.89992186577,60596.22330910175,27.485583635856248,43.39005716676549,171.3230674008076,128.27241378527748
14,10080,10085,62895.11,62673.37114176694,62673.37114176694,63264.67476372176,-4862.302751247584,1757.9587359847374,-0.005522008616803846,2024-10-13 22:00:00,2024-10-13 23:15:00,0 days 01:15:00,,62694.055472613276,62720.5346155648,62664.465960242735,62683.21452209495,27.031536990762035,26.30352414913072,155.12405509665518,154.39874655835825
12,11709,11771,72469.68,72000.27298589564,72000.27298589564,73252.87835684059,-7366.52360508293,1733.6394358307477,-0.008470811063195603,2024-10-30 21:15:00,2024-10-31 12:45:00,0 days 15:30:00,,72163.291748263,72279.31838010572,72141.80439174059,72293.62371353508,25.843033851304916,10.592529777651905,309.8626753979345,154.72731187488145
12,11867,11870,70279.18,70837.71154272741,69944.04507436354,70837.71154272741,5008.975814216288,1693.4026985127289,0.005939378507044173,2024-11-01 12:45:00,2024-11-01 13:30:00,0 days 00:45:00,,69913.89776904508,70026.7143268558,69887.03379157737,69940.4577138905,33.21981239503233,34.384155985274006,224.1475730130397,255.30001745978407
9,13459,13474,90606.06,91383.16113076983,90139.7993215381,91383.16113076983,5356.007186751591,1637.9029901769286,0.006568124799147727,2024-11-18 02:45:00,2024-11-18 06:30:00,0 days 03:45:00,,90191.9478324147,90594.59454352244,90155.01211340928,90388.57937508845,28.98408480724214,31.808613327735895,309.01113428593845,258.6427020797745
9,13512,13515,92309.51,91394.20392561097,91394.20392561097,93835.0201239817,-9891.088094831712,1653.3334253304988,-0.011905704930235645,2024-11-18 16:00:00,2024-11-18 16:45:00,0 days 00:45:00,,90956.75336950397,91134.45964650935,90875.87058043193,90966.98450292299,31.642571235470506,29.050128151962145,620.1937603360614,603.8743336218395
