time,t,T,s,i,open,close,high,low,volume,n
2025-12-30 22:09:00,1767132540000,1767132599999,DOGE,1m,0.12301,0.12301,0.12301,0.12301,122.0,1
2025-12-30 22:10:00,1767132600000,1767132659999,DOGE,1m,0.12303,0.12301,0.12303,0.12301,590.0,3
2025-12-30 22:11:00,1767132660000,1767132719999,DOGE,1m,0.12303,0.12307,0.12309,0.12303,106124.0,17
2025-12-30 22:12:00,1767132720000,1767132779999,DOGE,1m,0.12307,0.12308,0.12308,0.12307,59052.0,5
2025-12-30 22:13:00,1767132780000,1767132839999,DOGE,1m,0.12308,0.12309,0.12309,0.12308,52151.0,6
2025-12-30 22:14:00,1767132840000,1767132899999,DOGE,1m,0.12302,0.12303,0.12303,0.12302,220614.0,16
2025-12-30 22:15:00,1767132900000,1767132959999,DOGE,1m,0.12304,0.12307,0.12308,0.12304,208520.0,33
2025-12-30 22:16:00,1767132960000,1767133019999,DOGE,1m,0.12302,0.12303,0.12303,0.123,738707.0,34
2025-12-30 22:17:00,1767133020000,1767133079999,DOGE,1m,0.12302,0.12308,0.12308,0.12301,185632.0,28
2025-12-30 22:18:00,1767133080000,1767133139999,DOGE,1m,0.12308,0.12301,0.12308,0.12301,69487.0,8
2025-12-30 22:19:00,1767133140000,1767133199999,DOGE,1m,0.123,0.12306,0.12306,0.123,44471.0,8
2025-12-30 22:20:00,1767133200000,1767133259999,DOGE,1m,0.12309,0.1231,0.1231,0.12308,27286.0,3
2025-12-30 22:21:00,1767133260000,1767133319999,DOGE,1m,0.1231,0.12303,0.1231,0.12303,123775.0,15
2025-12-30 22:22:00,1767133320000,1767133379999,DOGE,1m,0.12303,0.12303,0.12303,0.12303,0.0,0
2025-12-30 22:23:00,1767133380000,1767133439999,DOGE,1m,0.12311,0.12311,0.12312,0.12311,72550.0,21
2025-12-30 22:24:00,1767133440000,1767133499999,DOGE,1m,0.12313,0.12319,0.12319,0.12313,58497.0,4
2025-12-30 22:25:00,1767133500000,1767133559999,DOGE,1m,0.12314,0.12314,0.12314,0.12311,22864.0,9
2025-12-30 22:26:00,1767133560000,1767133619999,DOGE,1m,0.12314,0.12314,0.12315,0.12314,11977.0,7
2025-12-30 22:27:00,1767133620000,1767133679999,DOGE,1m,0.12315,0.12315,0.12315,0.12315,157.0,1
2025-12-30 22:28:00,1767133680000,1767133739999,DOGE,1m,0.12315,0.12315,0.12315,0.12315,10000.0,1
2025-12-30 22:29:00,1767133740000,1767133799999,DOGE,1m,0.12313,0.12313,0.12313,0.12313,568.0,1
2025-12-30 22:30:00,1767133800000,1767133859999,DOGE,1m,0.12312,0.12317,0.12317,0.12312,1393.0,4
2025-12-30 22:31:00,1767133860000,1767133919999,DOGE,1m,0.12318,0.12318,0.12318,0.12318,126.0,1
2025-12-30 22:32:00,1767133920000,1767133979999,DOGE,1m,0.12312,0.12315,0.12315,0.12312,720.0,3
2025-12-30 22:33:00,1767133980000,1767134039999,DOGE,1m,0.12311,0.12312,0.12312,0.12311,331.0,2
2025-12-30 22:34:00,1767134040000,1767134099999,DOGE,1m,0.12312,0.12311,0.12312,0.12311,298.0,2
2025-12-30 22:35:00,1767134100000,1767134159999,DOGE,1m,0.12311,0.12312,0.12312,0.1231,45577.0,7
2025-12-30 22:36:00,1767134160000,1767134219999,DOGE,1m,0.12312,0.12304,0.12312,0.12304,65637.0,5
2025-12-30 22:37:00,1767134220000,1767134279999,DOGE,1m,0.12304,0.12304,0.12304,0.12304,0.0,0
2025-12-30 22:38:00,1767134280000,1767134339999,DOGE,1m,0.12305,0.12307,0.12307,0.12305,52075.0,8
2025-12-30 22:39:00,1767134340000,1767134399999,DOGE,1m,0.12307,0.12307,0.12307,0.12307,0.0,0
2025-12-30 22:40:00,1767134400000,1767134459999,DOGE,1m,0.12308,0.1231,0.1231,0.12308,26970.0,11
2025-12-30 22:41:00,1767134460000,1767134519999,DOGE,1m,0.12312,0.12312,0.12312,0.1231,24913.0,5
2025-12-30 22:42:00,1767134520000,1767134579999,DOGE,1m,0.1231,0.12311,0.12311,0.1231,394.0,2
2025-12-30 22:43:00,1767134580000,1767134639999,DOGE,1m,0.12309,0.12312,0.12312,0.12309,37898.0,2
2025-12-30 22:44:00,1767134640000,1767134699999,DOGE,1m,0.12316,0.12315,0.12316,0.12315,814.0,3
2025-12-30 22:45:00,1767134700000,1767134759999,DOGE,1m,0.12314,0.12314,0.12314,0.12313,980.0,6
2025-12-30 22:46:00,1767134760000,1767134819999,DOGE,1m,0.12315,0.1232,0.1232,0.12315,16957.0,6
2025-12-30 22:47:00,1767134820000,1767134879999,DOGE,1m,0.12319,0.12319,0.12319,0.12319,561.0,1
2025-12-30 22:48:00,1767134880000,1767134939999,DOGE,1m,0.12323,0.12323,0.12323,0.12323,154.0,2
2025-12-30 22:49:00,1767134940000,1767134999999,DOGE,1m,0.12323,0.12323,0.12323,0.12323,0.0,0
2025-12-30 22:50:00,1767135000000,1767135059999,DOGE,1m,0.12317,0.12316,0.12317,0.12316,253.0,3
2025-12-30 22:51:00,1767135060000,1767135119999,DOGE,1m,0.12316,0.12316,0.12316,0.12316,0.0,0
2025-12-30 22:52:00,1767135120000,1767135179999,DOGE,1m,0.12317,0.12318,0.12318,0.12317,782.0,4
2025-12-30 22:53:00,1767135180000,1767135239999,DOGE,1m,0.1232,0.12321,0.12321,0.1232,5514.0,2
2025-12-30 22:54:00,1767135240000,1767135299999,DOGE,1m,0.12322,0.12322,0.12322,0.12322,14140.0,1
2025-12-30 22:55:00,1767135300000,1767135359999,DOGE,1m,0.12322,0.1232,0.12322,0.1232,38245.0,7
2025-12-30 22:56:00,1767135360000,1767135419999,DOGE,1m,0.12321,0.12321,0.12321,0.12321,1071.0,1
2025-12-30 22:57:00,1767135420000,1767135479999,DOGE,1m,0.12322,0.12322,0.12322,0.12322,7858.0,1
2025-12-30 22:58:00,1767135480000,1767135539999,DOGE,1m,0.1232,0.12324,0.12324,0.12317,44273.0,4
2025-12-30 22:59:00,1767135540000,1767135599999,DOGE,1m,0.12315,0.12318,0.12319,0.12313,248113.0,25
2025-12-30 23:00:00,1767135600000,1767135659999,DOGE,1m,0.12316,0.12321,0.12322,0.1231,77563.0,21
2025-12-30 23:01:00,1767135660000,1767135719999,DOGE,1m,0.12321,0.12319,0.12321,0.12319,12117.0,5
2025-12-30 23:02:00,1767135720000,1767135779999,DOGE,1m,0.12312,0.12322,0.12329,0.12312,91472.0,19
2025-12-30 23:03:00,1767135780000,1767135839999,DOGE,1m,0.12312,0.12312,0.12312,0.12312,331.0,1
2025-12-30 23:04:00,1767135840000,1767135899999,DOGE,1m,0.12313,0.12303,0.12313,0.12303,5261.0,3
2025-12-30 23:05:00,1767135900000,1767135959999,DOGE,1m,0.12305,0.12309,0.1231,0.12305,55372.0,6
2025-12-30 23:06:00,1767135960000,1767136019999,DOGE,1m,0.12309,0.12309,0.12309,0.12309,0.0,0
2025-12-30 23:07:00,1767136020000,1767136079999,DOGE,1m,0.12315,0.12319,0.12319,0.12315,344.0,2
2025-12-30 23:08:00,1767136080000,1767136139999,DOGE,1m,0.12314,0.12313,0.12314,0.12313,624.0,3
2025-12-30 23:09:00,1767136140000,1767136199999,DOGE,1m,0.12315,0.12315,0.12315,0.12315,136.0,1
