strategy,symbol,side,entry_time,exit_time,entry,exit,initial_sl,initial_tp,gross_r,net_r,net_r_funding,funding_r,funding_covered,sl_frac,exit_reason,regime,bars_held,exit_tf
trend_lt,DOGE,SELL,2026-05-18T14:00:00+00:00,2026-05-18T20:00:00+00:00,0.10507,0.104281975,0.10797841564957707,0.09925316870084586,0.2709464859723847,0.23120766802976817,0.22937495709769246,0.001832710932075719,True,0.02768074283408271,sl_trailed,TREND,6,1h
trend_lt,DOGE,SELL,2026-05-18T23:00:00+00:00,2026-05-19T01:00:00+00:00,0.10496,0.10475008,0.10770821226451224,0.09946357547097551,0.07638420172659373,0.03437289077696764,0.03532769329855005,-0.0009548025215824111,True,0.02618342477622185,sl_trailed,TREND,2,1h
range_lt,BTC,BUY,2026-05-26T20:00:00+00:00,2026-05-26T23:00:00+00:00,76015.0,75707.0,75430.94,76897.5,-0.5273430811902907,-0.6705073108927191,-0.6695203757379404,-0.0009869351547786226,True,0.007683483522988853,thesis,RANGE,3,1h
range_lt,SOL,SELL,2026-08-17T11:00:00+00:00,2026-08-17T16:00:00+00:00,75.729,76.065,76.273916,75.0295,-0.6166087984203036,-0.7694798831379479,-0.7688156026853644,-0.0006642804525835167,True,0.007195605382350231,thesis,RANGE,20,15m
range_lt,HYPE,SELL,2026-06-26T16:00:00+00:00,2026-06-27T05:00:00+00:00,64.824,64.694352,66.26880000000001,61.873000000000005,0.0897342192691042,0.04038039867109807,0.04749553708471926,-0.0071151384136211885,True,0.02228804146612389,sl_trailed,RANGE,13,1h
range_lt,HYPE,BUY,2026-07-13T04:00:00+00:00,2026-07-13T05:00:00+00:00,66.555,65.76411999999999,65.76411999999999,67.732,-1.0,-1.092568404814888,-1.0936203185059663,0.001051913691078272,True,0.011883104199534452,sl,RANGE,1,1h
range_lt,AVAX,BUY,2026-05-26T22:00:00+00:00,2026-05-27T22:00:00+00:00,9.1404,9.006476000000001,9.006476000000001,9.33055,-1.0,-1.0750757145843919,-1.0895401566595988,0.014464442075206986,True,0.014651875191457551,sl,RANGE,24,1h
range_lt,AVAX,BUY,2026-07-07T08:00:00+00:00,2026-07-07T22:00:00+00:00,6.7614,6.6847,6.640472,6.90205,-0.6342617094469409,-0.6957655795183884,-0.7055502861206641,0.009784706602275723,True,0.017885053391309514,thesis,RANGE,14,1h
range_lt,DOGE,SELL,2026-04-24T02:00:00+00:00,2026-04-24T21:00:00+00:00,0.097905,0.09885,0.09916008000000001,0.096039,-0.7529400516301616,-0.838747729228402,-0.8202210715651456,-0.018526657663256448,True,0.012819365711659318,thesis,RANGE,19,1h
range_lt,DOGE,SELL,2026-06-02T00:00:00+00:00,2026-06-02T03:00:00+00:00,0.1011,0.099746,0.10223096,0.099746,1.1972129871967123,1.0988805970149198,1.1022328375892991,-0.003352240574379288,True,0.011186547972304652,tp,RANGE,3,1h
range_lt,DOGE,BUY,2026-07-07T09:00:00+00:00,2026-07-07T22:00:00+00:00,0.074795,0.074034,0.07361915999999999,0.076801,-0.6471968975370718,-0.7171677269016105,-0.7275043266940991,0.010336599792488676,True,0.01572083695434202,thesis,RANGE,13,1h
range_lt,DOGE,SELL,2026-07-20T18:00:00+00:00,2026-07-20T20:00:00+00:00,0.073101,0.072323,0.07386432000000001,0.072323,1.0192317769742558,0.91388788450452,0.9162820638788322,-0.0023941793743121782,True,0.010441991217630562,tp,RANGE,2,1h
range_lt,DOGE,SELL,2026-07-21T14:00:00+00:00,2026-07-22T06:00:00+00:00,0.073484,0.072449,0.07414656,0.072449,1.5621226756821784,1.440122554938398,1.4623043950736307,-0.02218184013523282,True,0.009016384519079072,tp,RANGE,16,1h
range_lt,DOGE,SELL,2026-08-17T15:00:00+00:00,2026-08-18T03:00:00+00:00,0.070371,0.069782,0.070797484,0.069782,1.3810600163195308,1.199557075998202,1.2243074769511104,-0.024750400952908494,True,0.00606050787966621,tp,RANGE,48,15m
range_lt,SUI,BUY,2026-04-27T06:00:00+00:00,2026-04-27T07:00:00+00:00,0.93395,0.9270224,0.9270224,0.94685,-1.0,-1.1482973901495483,-1.1478629327227339,-0.000434457426814486,True,0.007417527704909174,sl,RANGE,1,1h
range_lt,SUI,SELL,2026-07-01T06:00:00+00:00,2026-07-01T10:00:00+00:00,0.70487,0.70346026,0.7128524,0.68959,0.17660603327320584,0.07947271497294595,0.08388786580477595,-0.004415150831829995,True,0.011324641423241244,sl_trailed,RANGE,4,1h
rocket,SUI,BUY,2026-09-25T08:25:00+00:00,2026-09-25T10:49:00+00:00,1.0291,1.0633,1.0063,1.0633,1.5000000000000049,1.450350438596496,1.449222039473689,0.0011283991228070208,True,0.02215528131376925,tp,TREND_BULL_STRONG,144,1m
rocket,SUI,BUY,2026-09-25T16:25:00+00:00,2026-09-25T17:00:00+00:00,1.1108,1.1065,1.0906,1.1411,-0.21287128712871145,-0.27336039603960255,-0.27336039603960255,0.0,False,0.018185091825711194,thesis,TREND_BULL_STRONG,35,1m
